region,measles_total_sum,measles_total_mean,rubella_total_sum,total_population_mean,country_nunique,year_nunique
AFRO,901018,1499.198003327787,67690,25675755.981697172,46,14
SEARO,632557,4245.3489932885905,51936,171326841.4966443,11,14
EURO,548694,809.2831858407079,58906,18868414.268436577,53,14
EMRO,517334,1808.86013986014,27613,35548855.1993007,21,14
WPRO,434938,1275.4780058651027,139302,77878866.84750733,27,14
AMRO,58733,179.61162079510703,5,34349433.905198775,35,12
